Title,Company,Location,Work Mode,Stipend,Duration,Posted,Actively Hiring,Early Applicant,Job Offer Possible
GenAI Platform Automation Tester,Digite Infotech Private Limited,Bangalore,Hybrid,"₹ 8,000 - 11,000 /month",6 Months,Just now,True,True,No
Performance Marketing,FOOD SOLVE PRIVATE LIMITED,Bangalore,On-site,"₹ 20,000 - 25,000 /month",6 Months,Few hours ago,True,True,No
Deep Learning & Embedded Systems,Senso Vision System,Bangalore,On-site,"₹ 5,000 - 10,000 /month",3 Months,Few hours ago,True,False,No
Product And Marketing Data Manager,Dotkonnekt,Bangalore,On-site,"₹ 2,001 - 5,001 /month",3 Months,3 days ago,False,True,No
Market Research,Opptra,Bangalore,On-site,"₹ 25,000 - 35,000 /month",6 Months,1 week ago,True,False,No
Artificial Intelligence (AI),Newjaisa Technology Private Limited,Bangalore,On-site,"₹ 10,000 - 22,000 /month",6 Months,1 week ago,True,False,No
Project Trainee - Growth Marketing,NiYO Solutions Incorporation,Bangalore,On-site,"₹ 25,000 - 30,000 /month",6 Months,2 weeks ago,True,False,No
Associate Program Manager - Operation,ClearTax,Bangalore,On-site,"₹ 40,000 /month",2 Months,2 weeks ago,True,False,Job offer upto ₹ 15LPA post internship
Digital Platform & Social Media Handler,SYNERGYY INTEX INDIA PRIVATE LIMITED,Bangalore,On-site,"₹ 8,000 - 12,000 /month",3 Months,2 weeks ago,False,False,No
Growth And Retention,SuperTails,Bangalore,On-site,"₹ 25,000 /month",6 Months,3 weeks ago,True,False,No
Product,Pehchaan AI Technologies,Bangalore,On-site,"₹ 35,000 /month",3 Months,3 weeks ago,True,False,No
AI Engineer Intern,Icecreamlabs,Bangalore,Hybrid,"₹ 30,000 - 50,000 /month",3 Months,3 weeks ago,True,False,No
Data Engineer,Icecreamlabs,Bangalore,Hybrid,"₹ 20,000 - 30,000 /month",3 Months,3 weeks ago,True,False,No
Python Development,Time Line Investments,"Mangalore, Mysuru, Tumakuru, Bangalore, Karnataka",On-site,"₹ 2,000 /month",6 Months,3 weeks ago,True,False,No
Artificial Intelligence Engineer,Cognito Labs,Bangalore,On-site,"₹ 20,000 - 25,000 /month",6 Months,3 weeks ago,True,False,Job offer upto ₹ 6LPA post internship
AI/ML,Rugas Technologies Private Limited,Bangalore,On-site,"₹ 18,000 - 25,000 /month",3 Months,3 weeks ago,True,False,Job offer upto ₹ 6LPA post internship
FullStack FinTech Android App Development,Bewiser AI,Bangalore,On-site,"₹ 10,000 /month",3 Months,3 weeks ago,True,False,No
Business Analytics,McKinsey & Company,Bangalore,On-site,Competitive stipend,2 Months,1 week ago,False,True,No
Storefront Analytics - Udaan,Myntra,Bangalore,On-site,Competitive stipend,6 Months,2 weeks ago,False,True,No
Analyst Myntra Ads - Udaan,Myntra,Bangalore,On-site,Competitive stipend,Not Provided,2 weeks ago,False,True,No
Business Analyst,Myntra,Bangalore,On-site,Competitive stipend,Not Provided,2 weeks ago,False,True,No
